# Region type :   patch outlet
# Faces           : 1436
# Area            : 7.8391808859e-03
# Scale factor    : 1.0000000000e+00
# Time            	max(p)
1.4482700000000142	7.0326574739e+05
# Region type :   patch outlet
# Faces           : 1436
# Area            : 7.8391808859e-03
# Scale factor    : 1.0000000000e+00
# Time            	max(p)
1.4482800000000142	-3.1687951406e+04
# Region type :   patch outlet
# Faces           : 1436
# Area            : 7.8391808859e-03
# Scale factor    : 1.0000000000e+00
# Time            	max(p)
1.4482900000000143	2.9795815481e+03
# Region type :   patch outlet
# Faces           : 1436
# Area            : 7.8391808859e-03
# Scale factor    : 1.0000000000e+00
# Time            	max(p)
1.4483000000000144	2.4611265825e+03
# Region type :   patch outlet
# Faces           : 1436
# Area            : 7.8391808859e-03
# Scale factor    : 1.0000000000e+00
# Time            	max(p)
1.4483100000000144	2.3100212652e+03
# Region type :   patch outlet
# Faces           : 1436
# Area            : 7.8391808859e-03
# Scale factor    : 1.0000000000e+00
# Time            	max(p)
1.4483200000000145	2.1652313874e+03
# Region type :   patch outlet
# Faces           : 1436
# Area            : 7.8391808859e-03
# Scale factor    : 1.0000000000e+00
# Time            	max(p)
1.4483300000000146	1.9758773499e+03
# Region type :   patch outlet
# Faces           : 1436
# Area            : 7.8391808859e-03
# Scale factor    : 1.0000000000e+00
# Time            	max(p)
1.4483400000000146	1.8136106686e+03
# Region type :   patch outlet
# Faces           : 1436
# Area            : 7.8391808859e-03
# Scale factor    : 1.0000000000e+00
# Time            	max(p)
1.4483500000000147	1.6711540132e+03
